"codigo";"titulo";"subtitulo";"informacao";"unidade";"estado_conservacao";"situacao";"numero_tombamento";"colecao";"subcolecao";"tipologia";"cedido_a";"data_limite_cessao"
"002679";"1ª COLETIVA DE ARTE POSTAL";"";"Cartaz impresso, medindo 34 x 21,5 cm, produzido no ano de 1978. GILMAR E. CARDOSO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartaz";"";""
"005738";"All dressed up and nowhere to go";"";"Cartão, dimensões 12,5 x 14 cm, 1978, Vittore Barone.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005619";"A mosquito stick";"";"Desenho e colagem sobre papel, dimensões 18 x 25,5 cm, 1984, Michiko-Shiokawa.";"Núcleo de Arte e Cultura";"RUIM";"EM_ACERVO";"";"Arte Correio";"";"Colagem";"";""
"001719";"ARTE";"";"Cartão, medindo 14 x 18 cm, produzido nos anos de 80. CARLOS ECHEVERRY";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"002678";"ARTE E ALFINETE PELO CORREIO";"";"Cartão Postal, medindo 14,2 x 21,5 cm, produzido no ano de 1970. GILMAR E. CARDOSO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005380";"Arte Postal";"";"Colagem e carimbo sobre fotografia; dimensões 8,7 x 12,4 cm; 1980; Katia Bento.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Colagem";"";""
"002680";" ARTISTAS PARTICIPANTES";"";"Impresso, medindo 31,4 x 21,5 cm, produzido no ano de 1978. GILMAR E. CARDOSO";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"005621";"Art postal";"";"Impresso, dimensões 33 x 22 cm, 1986, Oliver Orosenthal.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"005739";"Art songs from Demonia";"";"Cartão, dimensões 14 x 10,5 cm, 1979, Vittore Barone.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005689";"Carta convite para participar do IV Salão Nacional de Artes Plásticas - Espaço Arte Postal.";"";"Carta convite, dimensões 31 x 21,5 cm, 1981, Rogério Nazari.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"005683";"Carta do Programa Brasileiro - Vaticano (Rádio Vaticano)";"";"Carta, dimensões 29,5 x 21 cm, 1985, Roberto da Silva / João de Deus da Ponte Lopes.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Carta Convite";"";""
"001733";"C(ART)A Nº 1";"";"Cartão, medindo 28 x 21,5 cm, produzido no ano de 1978. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001730";"C(ART)A Nº 33";"";"Cartão, medindo 28 x 21,5 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001731";"C(ART)A Nº 34 ";"";"Cartão, medindo 31,7 x 21,7 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001729";"C(ART)A Nº 35";"";"Cartão, medindo 28 x 21,5 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"001725";"CONCEPTUALIZACION VISUAL";"";"Cartão postal, medindo 14,3 x 10 cm, produzido no ano de 1979. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartão";"";""
"005702";"Concept verified";"";"Impresso, dimensões 21 x 14 cm, 1979, Rosie Thompson.";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Impresso";"";""
"001734";"CONDENADO A 473 DIAS DE SILÊNCIO";"";"Cartaz, medindo 35 x 21,5 cm, produzido no ano de 1977. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartaz";"";""
"001737";"Condenado a 473 dias de silencio II";"";"Cartaz, medindo 35,5 x 31,5 cm, produzido no ano de 1977. DÁMASO OGAZ";"Núcleo de Arte e Cultura";"BOM";"EM_ACERVO";"";"Arte Correio";"";"Cartaz";"";""
